"Type specimens at Botanical Survey of India, Central Regional Centre, Allahabad (BSA)",,,,,,,,,
Name of the Taxon,Family,Place of collection,"Date of 
Collection","Name of the
collector","F.No. / 
Coll. No.",Type Details,"Herbarium
Acronym",,
"Trichodesma mudgalii An. Kumar &
K.K. Khanna",Boraginaceae,"Madhya Pradesh, Betul
district, Atner.",16.04.1997,Anand Kumar,50039,Isotype,BSA,,
"Trichodesma indicum (L.) R.Br. ex
Lehm. var. betulense K.K. Khanna
& An. Kumar",Boraginaceae,"Madhya Pradesh, Betul
district, Ranipur.",21.04.1997,Anand Kumar,50178B,Isotype,BSA,,
"Eclipta prostrata (L.) L. var. dixitii
An. Kumar & K.K. Khanna",Asteraceae,"Madhya Pradesh, Betul
district, Atner.",16.04.1997,Anand Kumar,50015B,Isotype,BSA,,
"Eriocaulon raipurensis K.K.Khanna,
Mudgal & An. Kumar",Eriocaulaceae,"Madhya Pradesh,
Ambikapur.",22.11.1972,G. Sen Gupta,15693A,Paratype,BSA,,
"Cyathea balkrishnanii Dixit &
Tripathi [Alsophila balkrishnanii (R.D.
Dixit & A.K. Tripathi) R.D. Dixit]",Cyatheaceae,"Madhya Pradesh,
Pachmarhi, Dhupgarh.",17.10.1984,R.D. Dixit,,Isotype,BSA,,
Selaginella jainii R.D. Dixit,Selaginellaceae,"Madhya Pradesh,
Bilaspur",22.02.1972,G. Panigrahi,,Isotype,BSA,,
Selaginella panigrahi R.D. Dixit,Selaginellaceae,"Madhya Pradesh,
Bastar, Kutumasar 
(Kanger valley)",19.02.1963,"G. Panigrahi
& Arora",,Isotype,BSA,,
"Microgonium nicobaricum Dixit
& Singh","Hymenophyll--
aceae","Great Nicobar Island,
Shampen hut",16.03.1994,J.P. Ghosh,,Holotype,BSA,,
"Cryptothecia alboglauca Jagadeesh 
Ram, G.P.Sinha & Kr.P.Singh",Arthoniaceae,"West Bengal,
Sundarbans B.R., Matla
Island",28.02.2004,"T.A.M.
Jagadeesh
Ram",1045,Holotype,BSA,,
"Cryptothecia alboglauca Jagadeesh 
Ram, G.P.Sinha & Kr.P.Singh",Arthoniaceae,"West Bengal,
Sundarbans B.R.,
Goshaba Mangrove
forst",29.02.2004,"T.A.M.
Jagadeesh
Ram",1081,Paratype,BSA,,
"Cryptothecia benghalensis
Jgadeesh Ram, G.P.Sinha &
Kr.P.Singh",Arthoniaceae,"West Bengal,
Sundarbans, B.R.,
Netidopani",24.02.2003,"T.A.M.
Jagadeesh
Ram",13458,Holotype,BSA,,
"Cryptothecia farinosa Jgadeesh 
Ram, G.P.Sinha & Kr.P.Singh",Arthoniaceae,"Sikkim, Rumtek, alt.
1223 m,",25.11.2006,G.P.Sinha,3756,Holotype,BSA,,
"Cryptothecia farinosa Jgadeesh 
Ram, G.P.Sinha & Kr.P.Singh",Arthoniaceae,"Sikkim, Gangtok-
Dikchu- Singtam Road,
Tumin, alt. 1489 m",21.11.2006,G.P. Sinha,3636,Paratype,BSA,,
"Cryptothecia multipunctata Jgadeesh 
Ram, G.P.Sinha & Kr.P.Singh",Arthoniaceae,"West Bengal,
Sundarbans, B.R.,
Chulkati Island",16.03.2002,"T.A.M.
Jagadeesh
Ram",12105,Holotype,BSA,,
"Cryptothecia verruculifera Jgadeesh 
Ram, G.P.Sinha & Kr.P.Singh",Arthoniaceae,"West Bengal,
Darjeeling district,
Kanchan View Ta
Estate, alt. 2250 m, on
shade tree",16.05.2005,"Vivek
Narayan
Singh",2255,Holotype,BSA,,
"Herpathallon flavominutum Jagdeesh 
Ram & G.P.Sinha",Arthoniaceae,"Sikkim, Gangtok,
B.S.I. Campus",24.11.2006,G.P. Sinha,3743,Holotype,BSA,,
"Herpathallon flavominutum Jagdeesh 
Ram & G.P.Sinha",Arthoniaceae,"Meghalaya, Shillong,
B.S.I. Campus",14.02.2008,"T.A.M.
Jagadeesh
Ram",4154,Paratype,BSA,,
"Herpathallon granulosum Jagdeesh 
Ram & G.P.Sinha",Arthoniaceae,"Meghalaya, Shillong,
B.S.I. Campus",14.02.2008,"T.A.M.
Jagadeesh
Ram",4155,Holotype,BSA,,
"Herpathallon granulosum Jagdeesh 
Ram & G.P.Sinha",Arthoniaceae,"Meghalaya, Shillong,
B.S.I. Campus",14.02.2008,"T.A.M.
Jagadeesh
Ram",4156,Paratype,BSA,,
"Herpathallon granulosum Jagdeesh 
Ram & G.P.Sinha",Arthoniaceae,"West Bengal,
Darjeeling, Neora
valley N.P. (rain 
forest), Neora river
bank, alt. 2166 m,",16.05.2008,"T.A.M.
Jagadeesh
Ram",4305,Paratype,BSA,,
"Herpathallon himalayanum Jagdeesh 
Ram & G.P.Sinha",Arthoniaceae,"West Bengal,
Darjeeling, Neora
valley N.P., Neora
riverine rain forest, alt
2163 m.",16.05.2008,"T.A.M.
Jagadeesh
Ram",4310,Holotype,BSA,,
"Herpothallon isidiatum Jagdeesh 
Ram & G.P.Sinha",Arthoniaceae,"West Bengal,
Darjeeling district,
Kalimpong, Divisional 
Forest Manager oﬃce
campus, alt. 1206 m,
on Pinus",06.03.2007,"T.A.M.
Jagadeesh
Ram",3881,Holotype,BSA,,
"Herpothallon isidiatum Jagdeesh 
Ram & G.P.Sinha",Arthoniaceae,"Assam, Lakhimpur,
Koilamari, Koilamari
Tea Estate, alt. c. 150
m, on shade tree",15.05.2006,"G.P. Sinha &
V. N. Singh",3302,Paratype,BSA,,
"Herpathallon sticticum Jagdeesh
Ram & G.P.Sinha",Arthoniaceae,"Arunachal Pradesh, West
Kameng district,
Jameri road, alt. 1200
m, on Bombax trunk,",11.10.2001,"G.P.Sinha &
T.A.M.
Jagadeesh
Ram",11331,Holotype,"BSA
(ASSAM)",,
